market,model,games,zero_move_mae,model_mae,mae_gain,zero_move_rmse,model_rmse,rmse_gain,move_corr,direction_accuracy_move_0_5plus,direction_accuracy_move_1plus,actual_move_mean,pred_move_mean,segment,winner
spread,extra_trees,2528,1.4635087025316456,1.4646222218886564,-0.0011135193570108726,2.140331189990956,2.1157754126349024,0.024555777356053632,0.1560805277569647,0.5757575757575758,0.5830437804030577,-0.06299446202531646,-0.11646199794445072,development_all_weeks,
spread,hist_gradient_boosting,2528,1.4635087025316456,1.5395159165029282,-0.07600721397128263,2.140331189990956,2.1735193930257495,-0.03318820303479342,0.1189110277941042,0.5601173020527859,0.5601111883252259,-0.06299446202531646,-0.09580291314382146,development_all_weeks,
spread,ridge,2528,1.4635087025316456,1.6608925058513009,-0.19738380331965533,2.140331189990956,2.2863804557866945,-0.1460492657957384,0.10329492714440479,0.5488758553274682,0.5489923558026407,-0.06299446202531646,-0.11586239708001266,development_all_weeks,
total,extra_trees,2534,1.72543409629045,1.6877897420478323,0.037644354242617695,2.2855161898668857,2.2160827521515083,0.06943343771537736,0.18598843483080418,0.6131455399061033,0.6350626118067979,-0.4961523283346488,-0.22411063034790343,development_all_weeks,
total,hist_gradient_boosting,2534,1.72543409629045,1.7171972752146545,0.008236821075795486,2.2855161898668857,2.2462218514799233,0.03929433838696239,0.20952976105645402,0.6061032863849766,0.6219439475253429,-0.4961523283346488,-0.23241659919183835,development_all_weeks,
total,ridge,2534,1.72543409629045,1.8612481673745123,-0.1358140710840623,2.2855161898668857,2.3968207026504813,-0.11130451278359565,0.17681764162983532,0.5821596244131455,0.5992844364937389,-0.4961523283346488,-0.2322069950678242,development_all_weeks,
spread,extra_trees,908,1.6709801762114538,1.686438674797654,-0.015458498586200298,2.3600269962242995,2.351793872059209,0.008233124165090366,0.12272935006621537,0.5498652291105122,0.5507246376811594,0.1439977973568282,-0.040560906743846575,development_weeks_1_4,
spread,hist_gradient_boosting,908,1.6709801762114538,1.7675274201860511,-0.09654724397459735,2.3600269962242995,2.4211326171973124,-0.061105620973012975,0.07397582107788432,0.5309973045822103,0.5271739130434783,0.1439977973568282,-0.03749160402941387,development_weeks_1_4,
spread,ridge,908,1.6709801762114538,1.8809742739036002,-0.2099940976921464,2.3600269962242995,2.504348344665853,-0.14432134844155353,0.09426695357558913,0.5431266846361186,0.5543478260869565,0.1439977973568282,-0.0006246518537058462,development_weeks_1_4,
total,extra_trees,909,1.8721122112211221,1.8383836603650445,0.03372855085607762,2.482405080460953,2.4231268225506475,0.0592782579103055,0.1934052591266674,0.5885416666666666,0.6025437201907791,-0.34845984598459845,-0.14825954110788062,development_weeks_1_4,
total,hist_gradient_boosting,909,1.8721122112211221,1.8714187276316057,0.0006934835895164859,2.482405080460953,2.4444708165956115,0.03793426386534149,0.21912447219833084,0.5755208333333334,0.5882352941176471,-0.34845984598459845,-0.10634809191028764,development_weeks_1_4,
total,ridge,909,1.8721122112211221,1.9588684094227788,-0.0867561982016567,2.482405080460953,2.5652921215131466,-0.08288704105219358,0.19207586054695694,0.5963541666666666,0.5945945945945946,-0.34845984598459845,-0.12297173068883638,development_weeks_1_4,
spread,,357,1.5994397759103642,1.5608839876228267,0.038555788287537585,2.27129665948906,2.205599336077768,0.06569732341129164,0.2707520854963093,0.6428571428571429,0.6328502415458938,0.48249299719887956,-0.0029175677215330415,holdout_2025_weeks_1_4,extra_trees
total,,357,1.661764705882353,1.6182871502767775,0.043477555605575535,2.1837427717103495,2.089343485190491,0.09439928651985863,0.30221941867071733,0.590443686006826,0.6265560165975104,-0.1715686274509804,-0.3004503683417811,holdout_2025_weeks_1_4,extra_trees
